byte and adms::byte and adms
adms can add::adms can add
add drop smaller::add drop smaller
drop smaller tributaries::drop smaller tributaries
main sonet sdh::main sonet sdh
sonet sdh stream::sonet sdh stream
lot of bytes::lot of bytes
bytes and add::bytes and add
tributaries and add::tributaries and add
optical layer equipment::optical layer equipment
important it cross::important it cross
cross connects thousands::cross connects thousands
thousands of streams::thousands of streams
streams and software::streams and software
replaces patch panel::replaces patch panel
control is coming::control is coming
connect the streams::connect the streams
handles performance monitoring::handles performance monitoring
pdh sonet streams::pdh sonet streams
means add drop::means add drop
add drop multiplexing::add drop multiplexing
drop multiplexing functions::drop multiplexing functions
concept of grooming::concept of grooming
grooming in sonet::grooming in sonet
sonet grooming means::sonet grooming means
group the traffic::group the traffic
group of streams::group of streams
give higher priority::give higher priority
give higher quality::give higher quality
quality of service::quality of service
enables grouping traffic::enables grouping traffic
traffic with similar::traffic with similar
part of grooming::part of grooming
grooming it enables::grooming it enables
multiplexing or extracting::multiplexing or extracting
grooming narrow wider::grooming narrow wider
narrow wider broadband::narrow wider broadband
broadband and optical::broadband and optical
optical cross connects::optical cross connects
layer and optical::layer and optical
broadband ds3 grooming::broadband ds3 grooming
rate the point::rate the point
levels of grooming::levels of grooming
bit about virtual::bit about virtual
tributaries or containers::tributaries or containers
opposite of stm::opposite of stm
differentiate these sub::differentiate these sub
multiplexing ? sts::multiplexing ? sts
virtual tributary groups::virtual tributary groups
term virtual containers::term virtual containers
containers or vcs::containers or vcs
vcs we talked::vcs we talked
talked about vcs::talked about vcs
vts or virtual::vts or virtual
tributaries in sonet::tributaries in sonet
groups are byte::groups are byte
interleaved to create::interleaved to create
create a basic::create a basic
basic sonet spe::basic sonet spe
infrastructure of connecting::infrastructure of connecting
infrastructure or public::infrastructure or public
public switched tele::public switched tele
switched tele psdn::switched tele psdn
tele psdn network::tele psdn network
maintaining this communication::maintaining this communication
equipment usually telecom::equipment usually telecom
sort of fiber::sort of fiber
line should join::line should join
line to sort::line to sort
sort of existence::sort of existence
stream and travel::stream and travel
level of pointer::level of pointer
pointer this flexibility::pointer this flexibility
function in ds3::function in ds3
ds0 within ds3::ds0 within ds3
ds3 requires full::ds3 requires full
requires full demultiplexing::requires full demultiplexing
require full demultiplexing::require full demultiplexing
required in sonet::required in sonet
frame your bytes::frame your bytes
advantage of add::advantage of add
types of lines::types of lines
sort of traveling::sort of traveling
group and ride::group and ride
strength or higher::strength or higher
higher speed stream::higher speed stream
sort of identified::sort of identified
put a pointer::put a pointer
sts payload pointer::sts payload pointer
virtual tributary pointer::virtual tributary pointer
widely used technology::widely used technology
technology in wide::technology in wide
wide area networking::wide area networking
out of sonet::out of sonet
disadvantage of sonet::disadvantage of sonet
today may sound::today may sound
sound very expensive::sound very expensive
grows so people::grows so people
people are talking::people are talking
talking about direct::talking about direct
touch those aspects::touch those aspects
sort of experimental::sort of experimental
types of telephone::types of telephone
companies are connected::companies are connected
major service providers::major service providers
means of transport::means of transport
good day,so today::good day,so today
speaking about fiber::speaking about fiber
fiber optic components::fiber optic components
fiber optic communication::fiber optic communication
heard this lecture::heard this lecture
concentrate on fiber::concentrate on fiber
physical layer components::physical layer components
components of fiber::components of fiber
fiber optic systems::fiber optic systems
talking about today::talking about today
wavelength division multiplexing::wavelength division multiplexing
multiplexing is done::multiplexing is done
systems are handled::systems are handled
handled in fiber::handled in fiber
fiber optic domain::fiber optic domain
lot of traffic::lot of traffic
traffic in terms::traffic in terms
terms of volume::terms of volume
forty to fifty::forty to fifty
fiber as days::fiber as days
demand for bandwidth::demand for bandwidth
bandwidth is coming::bandwidth is coming
coming up fiber::coming up fiber
talking about fiber::talking about fiber
optic components today::optic components today
fiber optic component::fiber optic component
talk little bit::talk little bit
source and receivers::source and receivers
fiber optic cables::fiber optic cables
optic cables light::optic cables light
carrier of information::carrier of information
components like amplifiers::components like amplifiers
multiplexer and switches::multiplexer and switches
start our discussion::start our discussion
discussion on wavelength::discussion on wavelength
set of components::set of components
components are multiplexers::components are multiplexers
multiplexers filters gratings::multiplexers filters gratings
wavelength selective devices::wavelength selective devices
wave band selection::wave band selection
band selection wave::band selection wave
selection wave band::selection wave band
contiguous operating wavelengths::contiguous operating wavelengths
side by side::side by side
means a bunch::means a bunch
bunch of sequence::bunch of sequence
wavelength band selection::wavelength band selection
band selection static::band selection static
selection static wavelength::selection static wavelength
static wavelength cross::static wavelength cross
wavelength cross connects::wavelength cross connects
connects and oam::connects and oam
oam is optical::oam is optical
optical add drop::optical add drop
term optical add::term optical add
context of sonet::context of sonet
sonet but optical::sonet but optical
domain we require::domain we require
require optical add::require optical add
equalization of gain::equalization of gain
filtering of noise::filtering of noise
operation and dispersion::operation and dispersion
dispersion compensation modules::dispersion compensation modules
standard wavelength selective::standard wavelength selective
wavelength selective component::wavelength selective component
component is arrayed::component is arrayed
arrayed waveguide gratings::arrayed waveguide gratings
waveguide gratings ,we::waveguide gratings ,we
computer networks::computer networks
prof.sujoy ghosh::prof.sujoy ghosh
ghosh department::ghosh department
computer science::computer science
engineering iit::engineering iit
kharagpur lecture::kharagpur lecture
good day::good day
word sonet::word sonet
sonet stands::sonet stands
synchronous optical::synchronous optical
optical network::optical network
synchronous digital::synchronous digital
digital hierarchy::digital hierarchy
calling sdh::calling sdh
division multiplexing::division multiplexing
multiplexing system::multiplexing system
constant stream::constant stream
pdh gear::pdh gear
telecom infrastructure::telecom infrastructure
wide area::wide area
area network::area network
network part::network part
plesiochronous multiplexing::plesiochronous multiplexing
synchronous introduces::synchronous introduces
major achievement::major achievement
pdh multiplexing::pdh multiplexing
significant instance::significant instance
instance occur::instance occur
standard multiplexing::standard multiplexing
building blocks::building blocks
rate value::rate value
original source::original source
international multiplexing::international multiplexing
multiplexing standard::multiplexing standard
technology grew::technology grew
basic building::basic building
building block::building block
big achievement::big achievement
optical signal::optical signal
signal standard::signal standard
interconnecting multiple::interconnecting multiple
multiple vendor::multiple vendor
vendor equipment::vendor equipment
lower rates::lower rates
electrical signal::electrical signal
signal standards::signal standards
multiple vendors::multiple vendors
extensive oam::extensive oam
protection maintaining::protection maintaining
separate lecture::separate lecture
strong points::strong points
multiplexing formats::multiplexing formats
digital signals::digital signals
forklift upgrade::forklift upgrade
practical considerations::practical considerations
evolving technology::evolving technology
previous technologies::previous technologies
sonet achievement::sonet achievement
multiplexing standards::multiplexing standards
low end::low end
ds0 rate::ds0 rate
kbps line::kbps line
