networks prof .sujoy::networks prof .sujoy
broad band coaxial::broad band coaxial
band coaxial cable::band coaxial cable
ethernet that means::ethernet that means
cable tv dsl::cable tv dsl
dsl digital subscriber::dsl digital subscriber
digital subscriber lines::digital subscriber lines
wireless one issue::wireless one issue
important in man::important in man
issue of access::issue of access
order to network::order to network
network the entire::network the entire
residence and reaching::residence and reaching
individual residence involves::individual residence involves
residence involves cost::residence involves cost
good say utp::good say utp
problems of taking::problems of taking
taking utp cable::taking utp cable
disturbance and things::disturbance and things
question of cost::question of cost
access to users::access to users
issue in metropolitan::issue in metropolitan
wide area network::wide area network
fiber or satellite::fiber or satellite
wan are sonet::wan are sonet
sonet or sdh::sonet or sdh
similar technology atm::similar technology atm
dwdm dense wavelength::dwdm dense wavelength
dense wavelength division::dense wavelength division
wavelength division multiplexing::wavelength division multiplexing
geo and leo::geo and leo
leo geo stands::leo geo stands
stands for geostationary::stands for geostationary
form of geostationary::form of geostationary
satellite and leo::satellite and leo
leo is low::leo is low
low art orbiting::low art orbiting
computer networks::computer networks
.sujoy ghosh::.sujoy ghosh
ghosh indian::ghosh indian
indian institute::indian institute
technology i.i.t::technology i.i.t
i.i.t kharagpur::i.i.t kharagpur
kharagpur lecture::kharagpur lecture
physical medium::physical medium
good day::good day
last lecture::last lecture
protocol stacks::protocol stacks
osi protocol::osi protocol
protocol stack::protocol stack
cpi pre::cpi pre
pre reference::pre reference
reference stack::reference stack
bottom-most layer::bottom-most layer
general characteristics::general characteristics
specific media::specific media
analog signal::analog signal
digital signal::digital signal
analog signals::analog signals
important consideration::important consideration
bandwidth bandwidth::bandwidth bandwidth
carry information::carry information
total capacity::total capacity
specific portion::specific portion
direct communication::direct communication
control purpose::control purpose
specific purpose::specific purpose
inherent capacity::inherent capacity
left-hand side::left-hand side
right-hand side::right-hand side
values shown::values shown
sin values::sin values
harmonics means::harmonics means
pure sin::pure sin
sin wave::sin wave
wave form::wave form
analog verses::analog verses
digital signals::digital signals
signals digital::signals digital
basic advantages::basic advantages
error prone::error prone
limited extent::limited extent
extent errors::extent errors
signal distortion::signal distortion
niche areas::niche areas
noise affects::noise affects
original signal::original signal
similar kind::similar kind
distorted signal::distorted signal
digital communication::digital communication
greatest advantage::greatest advantage
signal levels::signal levels
maximum number::maximum number
transmit bits::transmit bits
nyquist limit::nyquist limit
maximum bits::maximum bits
level modulation::level modulation
hard limit::hard limit
damaged signals::damaged signals
original shape::original shape
noise superimposed::noise superimposed
resilient compared::resilient compared
correct errors::correct errors
error-checking information::error-checking information
sending groups::sending groups
extra byte::extra byte
odd parity::odd parity
sending station::sending station
primitive kind::primitive kind
sophisticated error-checking::sophisticated error-checking
error-checking methods::error-checking methods
methods employed::methods employed
sophisticated coding::sophisticated coding
coding technique::coding technique
digital transmission::digital transmission
analog transmission::analog transmission
sensitive information::sensitive information
bank transaction::bank transaction
credit card::credit card
card number::card number
bank account::bank account
original numbers::original numbers
current stream::current stream
important application::important application
transmission compression::transmission compression
compress information::compress information
lossy compression::lossy compression
compression techniques::compression techniques
non-lossy compression::non-lossy compression
techniques lossy::techniques lossy
compression technique::compression technique
digital photograph::digital photograph
high resolution::high resolution
trained persons::trained persons
loss compression::loss compression
loss-less compression::loss-less compression
positive voltage::positive voltage
vice versa::vice versa
high voltage::high voltage
low voltage::low voltage
electrical signal::electrical signal
signal traveling::signal traveling
simplest wave::simplest wave
encode data::encode data
digital form::digital form
current state::current state
preferred analog::preferred analog
analog data::analog data
digital voice::digital voice
boosts noise::boosts noise
digital case::digital case
digital data::digital data
signal carries::signal carries
clean analog::clean analog
home computer::home computer
telephone connection::telephone connection
telephone line::telephone line
analog medium::analog medium
data ride::data ride
modem pairs::modem pairs
telephone exchange::telephone exchange
telephony system::telephony system
purely digital::purely digital
digital information::digital information
analog domain::analog domain
amplitude shift::amplitude shift
shift keying::shift keying
binary numbers::binary numbers
carrier waves::carrier waves
voice grade::voice grade
grade lines::grade lines
optical fiber::optical fiber
low amplitude::low amplitude
high amplitude::high amplitude
amplitude analog::amplitude analog
optical domain::optical domain
electrical domain::electrical domain
so-called frequency::so-called frequency
frequency shift::frequency shift
binary digits::binary digits
high-frequency radio::high-frequency radio
so-called phase::so-called phase
phase shift::phase shift
carrier wave::carrier wave
kilo bits::kilo bits
grade line::grade line
simple phase::simple phase
complex phase::complex phase
higher data::higher data
data rates::data rates
rates nowadays::rates nowadays
combine phase::combine phase
multilevel signaling::multilevel signaling
signal represents::signal represents
simple technique::simple technique
current level::current level
simplest kind::simplest kind
bit rate::bit rate
baud rate::baud rate
simplest case::simplest case
digital encoding::digital encoding
analog information::analog information
common case::common case
telephone exchanges::telephone exchanges
telephone switches::telephone switches
trunk exchanges::trunk exchanges
core network::core network
telephone system::telephone system
real world::real world
error correction::error correction
core telephone::core telephone
analog fashion::analog fashion
nearest exchange::nearest exchange
analog voice::analog voice
voice signal::voice signal
voice give::voice give
voice data::voice data
good quality::good quality
first so-called::first so-called
so-called gold::so-called gold
gold quality::gold quality
high fidelity::high fidelity
fidelity kind::fidelity kind
practical purposes::practical purposes
khz bandwidth::khz bandwidth
nyquist rate::nyquist rate
back nyquist::back nyquist
maximum frequency::maximum frequency
original analog::original analog
sample values::sample values
small amplitude::small amplitude
large amplitude::large amplitude
highest level::highest level
fundamental unit::fundamental unit
telephone people::telephone people
first network::first network
kbps happened::kbps happened
voice channel::voice channel
voice channels::voice channels
mbps capacity::mbps capacity
network depending::network depending
basic unit::basic unit
non return::non return
so-called nrz::so-called nrz
nrz encoding::nrz encoding
voltage levels::voltage levels
negative voltage::negative voltage
voltage equals::voltage equals
flip flops::flip flops
level voltage::level voltage
simple kind::simple kind
means non::means non
constant voltage::constant voltage
transition represents::transition represents
bit pattern::bit pattern
voltage pattern::voltage pattern
large number::large number
large train::large train
constant train::constant train
original data::original data
constant level::constant level
level signal::level signal
worst case::worst case
wrong fashion::wrong fashion
nrz code::nrz code
bit ends::bit ends
receiver results::receiver results
bit phase::bit phase
phase encoding::phase encoding
receiver clocks::receiver clocks
close synchronization::close synchronization
nice property::nice property
predictable bit::predictable bit
bit transition::bit transition
differential manchesters::differential manchesters
manchester encoding::manchester encoding
high transition::high transition
transition means::transition means
low transition::low transition
differential manchester::differential manchester
midbit transmission::midbit transmission
clock synchronization::clock synchronization
synchronization purposes::synchronization purposes
bit period::bit period
transition transition::transition transition
clocking purpose::clocking purpose
token ring::token ring
ring networks::ring networks
encoding techniques::encoding techniques
bit rates::bit rates
signals change::signals change
analog encoding::analog encoding
important area::important area
raw form::raw form
higher frequency::higher frequency
carrying voice::carrying voice
close vicinity::close vicinity
radio signal::radio signal
high frequency::high frequency
high-frequency so-called::high-frequency so-called
so-called carrier::so-called carrier
higher bandwidth::higher bandwidth
so-called modulation::so-called modulation
amplitude modulation::amplitude modulation
frequency modulation::frequency modulation
phase modulation::phase modulation
digital signaling::digital signaling
state transition::state transition
inherent trouble::inherent trouble
physical media::physical media
transmission medium::transmission medium
optic cable::optic cable
basic properties::basic properties
signal propagates::signal propagates
final signal::final signal
signal strength::signal strength
distance grows::distance grows
grows signals::grows signals
large distance::large distance
short wave::short wave
local area::local area
area network::area network
technical problems::technical problems
signal propagation::signal propagation
propagation point::propagation point
leakage currents::leakage currents
fundamental property::fundamental property
optical medium::optical medium
light pulse::light pulse
major effects::major effects
adjacent bits::adjacent bits
make recognition::make recognition
square wave::square wave
wave kind::wave kind
sign waves::sign waves
frequencies change::frequencies change
medium differently::medium differently
relative strengths::relative strengths
receiving end::receiving end
square shape::square shape
thermal energy::thermal energy
inherent noise::inherent noise
random signals::random signals
static discharge::static discharge
lightning strikes::lightning strikes
washing machine::washing machine
things add::things add
general noise::general noise
signal back::signal back
high signal-to-noise::high signal-to-noise
signal-to-noise ratio::signal-to-noise ratio
ratio signal::ratio signal
strength divided::strength divided
average noise::average noise
noise strength::noise strength
snr falls::snr falls
noise floor::noise floor
meaningful communication::meaningful communication
carried out::carried out
strong signal-to-noise::strong signal-to-noise
long distance::long distance
acceptable signal-to-noise::acceptable signal-to-noise
means energy::means energy
wire adds::wire adds
important point::important point
strong interference::strong interference
cable termination::cable termination
so-called cross::so-called cross
cross talk::cross talk
termination end::termination end
wired kind::wired kind
network infrastructure::network infrastructure
multiple wires::multiple wires
nearby wires::nearby wires
analog lines::analog lines
require modems::require modems
modems modem::modems modem
modem stands::modem stands
digital computer::digital computer
analog phone::analog phone
phone system::phone system
card inserted::card inserted
serial port::serial port
analog system::analog system
interesting field::interesting field
remember computer::remember computer
computer network::computer network
network nodes::network nodes
communication lines::communication lines
common networks::common networks
lecture lecture::lecture lecture
general impairments::general impairments
copper cable::copper cable
coaxial cable::coaxial cable
twisted pair::twisted pair
twisted pairs::twisted pairs
important cables::important cables
simple electromagnetic::simple electromagnetic
electromagnetic radiation::electromagnetic radiation
lan lan::lan lan
meter means::meter means
computer connected::computer connected
table connected::table connected
connected side::connected side
coaxial cables::coaxial cables
area networks::area networks
cable cat::cable cat
landline phones::landline phones
pair cables::pair cables
computer networking::computer networking
local telephone::local telephone
digital ports::digital ports
lan atm::lan atm
fddi ring::fddi ring
ring kind::ring kind
personal area::personal area
bigger network::bigger network
metropolitan area::metropolitan area
small towns::small towns
ballpark figure::ballpark figure
figure man::figure man
ten kilometers::ten kilometers
twenty kilometers::twenty kilometers
base band::base band
telephone lines::telephone lines
telephone linesi::telephone linesi
linesi told::linesi told
hybrid kind::hybrid kind
fiber fiber::fiber fiber
fiber means::fiber means
optic cables::optic cables
broad band::broad band
cable modem::cable modem
long ethernet::long ethernet
dsl digital::dsl digital
digital subscriber::digital subscriber
subscriber lines::subscriber lines
individual users.i::individual users.i
entire town::entire town
individual residence::individual residence
residence involves::residence involves
involves cost::involves cost
small building::small building
taking utp::taking utp
individual house::individual house
electromagnetic disturbance::electromagnetic disturbance
wide area::wide area
similar technology::similar technology
technology atm::technology atm
internet protocol::internet protocol
dwdm dense::dwdm dense
dense wavelength::dense wavelength
wavelength division::wavelength division
division multiplexing::division multiplexing
leo geo::leo geo
geo stands::geo stands
geostationary satellite::geostationary satellite
short form::short form
low art::low art
art orbiting::art orbiting
computer::computer
networks::networks
prof::prof
.sujoy::.sujoy
ghosh::ghosh
indian::indian
institute::institute
technology::technology
i.i.t::i.i.t
kharagpur::kharagpur
lecture::lecture
physical::physical
medium::medium
good::good
day::day
last::last
two::two
protocol::protocol
stacks::stacks
osi::osi
stack::stack
detail::detail
cpi::cpi
pre::pre
reference::reference
model::model
bottom-most::bottom-most
layer::layer
computers::computers
communicate::communicate
general::general
characteristics::characteristics
data::data
travel::travel
today::today
specific::specific
media::media
talk::talk
modes::modes
communication::communication
analog::analog
digital::digital
top::top
signal::signal
shape::shape
kind::kind
represents::represents
series::series
zeros::zeros
stream::stream
bits::bits
signals::signals
value::value
important::important
consideration::consideration
bandwidth::bandwidth
capacity::capacity
carry::carry
information::information
total::total
divided::divided
channels::channels
sort::sort
divide::divide
give::give
users::users
portion::portion
channel::channel
direct::direct
control::control
purpose::purpose
speed::speed
depend::depend
inherent::inherent
intermittently::intermittently
linked::linked
left-hand::left-hand
side::side
right::right
bargraph::bargraph
representation::representation
right-hand::right-hand
basically::basically
sin::sin
represent::represent
values::values
shown::shown
graph::graph
sum::sum
harmonics::harmonics
means::means
constant::constant
figure::figure
pure::pure
wave::wave
harmonic::harmonic
depending::depending
complexity::complexity
form::form
make::make
comparison::comparison
verses::verses
basic::basic
advantages::advantages
error::error
prone::prone
distortion::distortion
source::source
destination::destination
rectified::rectified
easily::easily
limited::limited
extent::extent
errors::errors
corrected::corrected
talking::talking
limitations::limitations
sense::sense
people::people
preferred::preferred
rules::rules
niche::niche
areas::areas
statement::statement
error-prone::error-prone
noise::noise
affects::affects
hard::hard
deduce::deduce
original::original
similar::similar
superimposed::superimposed
distorted::distorted
square::square
shaped::shaped
eliminated::eliminated
greatest::greatest
advantage::advantage
concerned::concerned
suppose::suppose
number::number
levels::levels
maximum::maximum
transmit::transmit
terms::terms
nyquist::nyquist
limit::limit
log2::log2
level::level
modulation::modulation
four::four
bps::bps
kbps::kbps
send::send
higher::higher
fast::fast
52-10::52-10
regeneration::regeneration
reliable::reliable
regenerate::regenerate
slightly::slightly
damaged::damaged
states::states
grossly::grossly
received::received
weaker::weaker
strength::strength
deformed::deformed
voltage::voltage
volts::volts
result::result
simply::simply
electronics::electronics
restored::restored
high::high
restore::restore
case::case
spike::spike
restoration::restoration
wrong::wrong
lose::lose
loss::loss
fault-tolerant::fault-tolerant
resistant::resistant
resilient::resilient
compared::compared
correct::correct
transmission::transmission
add::add
bytes::bytes
error-checking::error-checking
retransmission::retransmission
detected::detected
simple::simple
sending::sending
groups::groups
byte::byte
extra::extra
odd::odd
parity::parity
receiver::receiver
end::end
find::find
bit::bit
flipped::flipped
happened::happened
supposed::supposed
adding::adding
dictate::dictate
station::station
request::request
sender::sender
retransmit::retransmit
bunch::bunch
primitive::primitive
sophisticated::sophisticated
methods::methods
employed::employed
correction::correction
adopted::adopted
coding::coding
technique::technique
36-14::36-14
encrypted::encrypted
makes::makes
sensitive::sensitive
network::network
e-banking::e-banking
coming::coming
vogue::vogue
bank::bank
transaction::transaction
similarly::similarly
e-commerce::e-commerce
buy::buy
online::online
pay::pay
credit::credit
